frame,abstime,reltime,april16_microphoneBoardE_0.seq:Rectangle 1 [C]:max,april16_microphoneBoardE_0.seq:Polygon 1 [C]:max,april16_microphoneBoardE_0.seq:Rectangle 2 [C]:max,april16_microphoneBoardE_0.seq:Rectangle 3 [C]:max,april16_microphoneBoardE_0.seq:Rectangle 4 [C]:max,april16_microphoneBoardE_0.seq:Rectangle 5 [C]:mean
111,2000-02-16 05:54:26.978000,17.601000,2.585162e+01,2.691402e+01,2.699428e+01,2.661923e+01,2.569608e+01,2.477534e+01
112,2000-02-16 05:54:27.138000,17.761000,2.587189e+01,2.689395e+01,2.701433e+01,2.659910e+01,2.571638e+01,2.477835e+01
113,2000-02-16 05:54:27.298000,17.921000,2.604067e+01,2.697422e+01,2.703439e+01,2.664606e+01,2.571638e+01,2.478793e+01
114,2000-02-16 05:54:27.458000,18.081000,2.597994e+01,2.687387e+01,2.703439e+01,2.667289e+01,2.579078e+01,2.479507e+01
115,2000-02-16 05:54:27.618000,18.241000,2.608114e+01,2.692740e+01,2.704775e+01,2.673322e+01,2.581107e+01,2.480066e+01
116,2000-02-16 05:54:27.778000,18.401000,2.596644e+01,2.699428e+01,2.709451e+01,2.673322e+01,2.572315e+01,2.480168e+01
117,2000-02-16 05:54:27.938000,18.561000,2.591243e+01,2.692071e+01,2.704775e+01,2.661923e+01,2.577726e+01,2.481264e+01
118,2000-02-16 05:54:28.098000,18.721000,2.595969e+01,2.694747e+01,2.705443e+01,2.663265e+01,2.580431e+01,2.481289e+01
119,2000-02-16 05:54:28.258000,18.881000,2.591243e+01,2.694747e+01,2.709451e+01,2.678013e+01,2.584487e+01,2.482121e+01
120,2000-02-16 05:54:28.418000,19.041000,2.597994e+01,2.695416e+01,2.712791e+01,2.665948e+01,2.572991e+01,2.482974e+01
121,2000-02-16 05:54:28.578000,19.201000,2.600694e+01,2.700097e+01,2.716796e+01,2.667959e+01,2.579078e+01,2.484697e+01
122,2000-02-16 05:54:28.738000,19.361000,2.604067e+01,2.698091e+01,2.718798e+01,2.669300e+01,2.579755e+01,2.485280e+01
123,2000-02-16 05:54:28.898000,19.521000,2.615529e+01,2.698759e+01,2.720133e+01,2.669300e+01,2.578402e+01,2.486174e+01
124,2000-02-16 05:54:29.058000,19.681000,2.608114e+01,2.699428e+01,2.719466e+01,2.673993e+01,2.576373e+01,2.487015e+01
125,2000-02-16 05:54:29.219000,19.842000,2.610811e+01,2.699428e+01,2.715461e+01,2.686718e+01,2.581783e+01,2.487209e+01
126,2000-02-16 05:54:29.378000,20.001000,2.606091e+01,2.703439e+01,2.719466e+01,2.675333e+01,2.580431e+01,2.487763e+01
127,2000-02-16 05:54:29.538000,20.161000,2.602718e+01,2.706111e+01,2.719466e+01,2.675333e+01,2.577726e+01,2.488348e+01
128,2000-02-16 05:54:29.699000,20.322000,2.609463e+01,2.702102e+01,2.731470e+01,2.679352e+01,2.573668e+01,2.488845e+01
129,2000-02-16 05:54:29.858000,20.481000,2.614181e+01,2.703439e+01,2.722802e+01,2.683371e+01,2.585838e+01,2.489145e+01
130,2000-02-16 05:54:30.019000,20.642000,2.615529e+01,2.702770e+01,2.722135e+01,2.680022e+01,2.567577e+01,2.489577e+01
131,2000-02-16 05:54:30.179000,20.802000,2.607440e+01,2.705443e+01,2.722802e+01,2.680692e+01,2.587865e+01,2.490075e+01
132,2000-02-16 05:54:30.339000,20.962000,2.620918e+01,2.706111e+01,2.722135e+01,2.688726e+01,2.581107e+01,2.490796e+01
133,2000-02-16 05:54:30.499000,21.122000,2.618224e+01,2.706779e+01,2.724803e+01,2.689395e+01,2.582459e+01,2.491842e+01
134,2000-02-16 05:54:30.659000,21.282000,2.608114e+01,2.709451e+01,2.724803e+01,2.693409e+01,2.585838e+01,2.492013e+01
135,2000-02-16 05:54:30.819000,21.442000,2.618224e+01,2.701433e+01,2.722802e+01,2.685379e+01,2.590567e+01,2.491813e+01
136,2000-02-16 05:54:30.979000,21.602000,2.607440e+01,2.706111e+01,2.720133e+01,2.682031e+01,2.582459e+01,2.492191e+01
137,2000-02-16 05:54:31.139000,21.762000,2.608788e+01,2.704107e+01,2.723469e+01,2.683371e+01,2.572991e+01,2.492577e+01
138,2000-02-16 05:54:31.299000,21.922000,2.615529e+01,2.708784e+01,2.724136e+01,2.686718e+01,2.582459e+01,2.493249e+01
139,2000-02-16 05:54:31.459000,22.082000,2.616877e+01,2.705443e+01,2.726137e+01,2.688726e+01,2.584487e+01,2.494079e+01
140,2000-02-16 05:54:31.619000,22.242000,2.616203e+01,2.710119e+01,2.726804e+01,2.694078e+01,2.581107e+01,2.494668e+01
141,2000-02-16 05:54:31.779000,22.402000,2.618898e+01,2.708784e+01,2.724803e+01,2.696753e+01,2.583135e+01,2.494521e+01
142,2000-02-16 05:54:31.939000,22.562000,2.622265e+01,2.712123e+01,2.734136e+01,2.690064e+01,2.583811e+01,2.495418e+01
143,2000-02-16 05:54:32.099000,22.722000,2.630343e+01,2.706111e+01,2.730137e+01,2.690733e+01,2.589216e+01,2.495573e+01
144,2000-02-16 05:54:32.259000,22.882000,2.628324e+01,2.705443e+01,2.729471e+01,2.700765e+01,2.598669e+01,2.496620e+01
145,2000-02-16 05:54:32.419000,23.042000,2.616877e+01,2.708784e+01,2.728137e+01,2.692071e+01,2.583135e+01,2.496500e+01
146,2000-02-16 05:54:32.579000,23.202000,2.624285e+01,2.714126e+01,2.728137e+01,2.695416e+01,2.583135e+01,2.496977e+01
147,2000-02-16 05:54:32.739000,23.362000,2.630343e+01,2.716129e+01,2.738800e+01,2.697422e+01,2.586514e+01,2.496640e+01
148,2000-02-16 05:54:32.899000,23.522000,2.624285e+01,2.718131e+01,2.730804e+01,2.690733e+01,2.588541e+01,2.497072e+01
149,2000-02-16 05:54:33.059000,23.682000,2.633035e+01,2.714794e+01,2.736802e+01,2.692740e+01,2.583135e+01,2.497793e+01
150,2000-02-16 05:54:33.219000,23.842000,2.620245e+01,2.706111e+01,2.740798e+01,2.693409e+01,2.582459e+01,2.498266e+01
151,2000-02-16 05:54:33.379000,24.002000,2.626305e+01,2.713458e+01,2.747456e+01,2.697422e+01,2.582459e+01,2.498643e+01
152,2000-02-16 05:54:33.539000,24.162000,2.624959e+01,2.711455e+01,2.739466e+01,2.692071e+01,2.593269e+01,2.499216e+01
