frame,abstime,reltime,april10_baselineBoardC_3.seq:Rectangle 1 [C]:max,april10_baselineBoardC_3.seq:Polygon 1 [C]:max,april10_baselineBoardC_3.seq:Rectangle 2 [C]:max,april10_baselineBoardC_3.seq:Rectangle 3 [C]:max,april10_baselineBoardC_3.seq:Rectangle 4 [C]:max,april10_baselineBoardC_3.seq:Rectangle 5 [C]:mean
78,2000-02-10 06:31:54.638000,12.321000,2.548607e+01,2.691402e+01,2.650511e+01,2.601369e+01,2.462130e+01,2.433453e+01
79,2000-02-10 06:31:54.798000,12.481000,2.543180e+01,2.692740e+01,2.660581e+01,2.600694e+01,2.460763e+01,2.433966e+01
80,2000-02-10 06:31:54.958000,12.641000,2.552675e+01,2.691402e+01,2.651183e+01,2.600019e+01,2.456659e+01,2.434068e+01
81,2000-02-10 06:31:55.118000,12.801000,2.549963e+01,2.698759e+01,2.655212e+01,2.609463e+01,2.458027e+01,2.435844e+01
82,2000-02-10 06:31:55.278000,12.961000,2.552675e+01,2.698759e+01,2.656554e+01,2.616203e+01,2.467599e+01,2.436891e+01
83,2000-02-10 06:31:55.438000,13.121000,2.553353e+01,2.692740e+01,2.667959e+01,2.613507e+01,2.476479e+01,2.437897e+01
84,2000-02-10 06:31:55.598000,13.281000,2.562838e+01,2.692071e+01,2.665948e+01,2.610811e+01,2.466232e+01,2.437949e+01
85,2000-02-10 06:31:55.758000,13.441000,2.562838e+01,2.710787e+01,2.657226e+01,2.616877e+01,2.460763e+01,2.438811e+01
86,2000-02-10 06:31:55.919000,13.602000,2.562161e+01,2.711455e+01,2.662594e+01,2.614855e+01,2.471698e+01,2.439688e+01
87,2000-02-10 06:31:56.078000,13.761000,2.559451e+01,2.710787e+01,2.662594e+01,2.613507e+01,2.467599e+01,2.440482e+01
88,2000-02-10 06:31:56.238000,13.921000,2.562838e+01,2.711455e+01,2.661252e+01,2.613507e+01,2.464865e+01,2.440939e+01
89,2000-02-10 06:31:56.399000,14.082000,2.568931e+01,2.703439e+01,2.665948e+01,2.614855e+01,2.468282e+01,2.440756e+01
90,2000-02-10 06:31:56.560000,14.243000,2.557419e+01,2.710787e+01,2.667289e+01,2.610137e+01,2.469649e+01,2.440307e+01
91,2000-02-10 06:31:56.719000,14.402000,2.559451e+01,2.701433e+01,2.661252e+01,2.612833e+01,2.464865e+01,2.441149e+01
92,2000-02-10 06:31:56.879000,14.562000,2.560806e+01,2.702102e+01,2.673322e+01,2.614181e+01,2.476479e+01,2.441991e+01
93,2000-02-10 06:31:57.039000,14.722000,2.562161e+01,2.710787e+01,2.668630e+01,2.628324e+01,2.464865e+01,2.442566e+01
94,2000-02-10 06:31:57.199000,14.882000,2.569608e+01,2.708784e+01,2.665948e+01,2.616877e+01,2.478527e+01,2.443131e+01
95,2000-02-10 06:31:57.359000,15.042000,2.568254e+01,2.706111e+01,2.680692e+01,2.625632e+01,2.467599e+01,2.443829e+01
96,2000-02-10 06:31:57.519000,15.202000,2.568931e+01,2.701433e+01,2.676673e+01,2.620918e+01,2.471698e+01,2.444552e+01
97,2000-02-10 06:31:57.679000,15.362000,2.567577e+01,2.717464e+01,2.671312e+01,2.622939e+01,2.466232e+01,2.445863e+01
98,2000-02-10 06:31:57.839000,15.522000,2.568254e+01,2.709451e+01,2.675333e+01,2.623612e+01,2.472381e+01,2.446760e+01
