frame,abstime,reltime,april3_microphoneBoardD_4.seq:Rectangle 1 [C]:max,april3_microphoneBoardD_4.seq:Polygon 1 [C]:max,april3_microphoneBoardD_4.seq:Rectangle 2 [C]:max,april3_microphoneBoardD_4.seq:Rectangle 3 [C]:max,april3_microphoneBoardD_4.seq:Rectangle 4 [C]:max,april3_microphoneBoardD_4.seq:Rectangle 5 [C]:mean
170,2000-02-03 08:01:43.842000,27.044000,2.713458e+01,2.745459e+01,2.791956e+01,2.738134e+01,2.614181e+01,2.548546e+01
171,2000-02-03 08:01:44.002000,27.204000,2.710119e+01,2.748121e+01,2.789305e+01,2.738800e+01,2.615529e+01,2.548730e+01
172,2000-02-03 08:01:44.162000,27.364000,2.701433e+01,2.754110e+01,2.782673e+01,2.738134e+01,2.619571e+01,2.548957e+01
173,2000-02-03 08:01:44.322000,27.524000,2.707448e+01,2.762753e+01,2.788642e+01,2.739466e+01,2.607440e+01,2.548635e+01
174,2000-02-03 08:01:44.482000,27.684000,2.708784e+01,2.753444e+01,2.793282e+01,2.744128e+01,2.615529e+01,2.549465e+01
175,2000-02-03 08:01:44.642000,27.844000,2.713458e+01,2.748787e+01,2.791956e+01,2.747456e+01,2.610137e+01,2.549797e+01
176,2000-02-03 08:01:44.802000,28.004000,2.710787e+01,2.754775e+01,2.789305e+01,2.745459e+01,2.616877e+01,2.550271e+01
177,2000-02-03 08:01:44.962000,28.164000,2.704775e+01,2.744793e+01,2.785989e+01,2.739466e+01,2.609463e+01,2.549795e+01
178,2000-02-03 08:01:45.122000,28.324000,2.704107e+01,2.749452e+01,2.787316e+01,2.736135e+01,2.602044e+01,2.551070e+01
179,2000-02-03 08:01:45.282000,28.484000,2.714126e+01,2.747456e+01,2.789968e+01,2.740132e+01,2.610137e+01,2.551605e+01
180,2000-02-03 08:01:45.442000,28.644000,2.714794e+01,2.749452e+01,2.787979e+01,2.746790e+01,2.605416e+01,2.551253e+01
181,2000-02-03 08:01:45.602000,28.804000,2.712123e+01,2.764082e+01,2.795932e+01,2.745459e+01,2.610811e+01,2.551391e+01
182,2000-02-03 08:01:45.762000,28.964000,2.708116e+01,2.755440e+01,2.785326e+01,2.742130e+01,2.611485e+01,2.552025e+01
183,2000-02-03 08:01:45.922000,29.124000,2.712791e+01,2.748787e+01,2.792619e+01,2.740798e+01,2.611485e+01,2.552668e+01
