frame,abstime,reltime,april10_baselineBoardB_3.seq:Rectangle 1 [C]:max,april10_baselineBoardB_3.seq:Polygon 1 [C]:max,april10_baselineBoardB_3.seq:Rectangle 2 [C]:max,april10_baselineBoardB_3.seq:Rectangle 3 [C]:max,april10_baselineBoardB_3.seq:Rectangle 4 [C]:max,april10_baselineBoardB_3.seq:Rectangle 5 [C]:mean
88,2000-02-10 05:51:28.494000,13.921000,2.554708e+01,2.706111e+01,2.658568e+01,2.597319e+01,2.494217e+01,2.440291e+01
89,2000-02-10 05:51:28.654000,14.081000,2.553353e+01,2.702102e+01,2.657226e+01,2.595969e+01,2.502393e+01,2.440983e+01
90,2000-02-10 05:51:28.814000,14.241000,2.553353e+01,2.711455e+01,2.659239e+01,2.608114e+01,2.500350e+01,2.442599e+01
91,2000-02-10 05:51:28.974000,14.401000,2.554031e+01,2.704775e+01,2.659910e+01,2.594619e+01,2.504436e+01,2.443723e+01
92,2000-02-10 05:51:29.134000,14.561000,2.551319e+01,2.704107e+01,2.668630e+01,2.605416e+01,2.501712e+01,2.444530e+01
93,2000-02-10 05:51:29.294000,14.721000,2.552675e+01,2.700097e+01,2.667959e+01,2.600019e+01,2.498306e+01,2.444776e+01
94,2000-02-10 05:51:29.454000,14.881000,2.554708e+01,2.706111e+01,2.667959e+01,2.602718e+01,2.500350e+01,2.445267e+01
95,2000-02-10 05:51:29.614000,15.041000,2.562838e+01,2.704107e+01,2.671312e+01,2.608788e+01,2.504436e+01,2.446095e+01
96,2000-02-10 05:51:29.774000,15.201000,2.560129e+01,2.710787e+01,2.675333e+01,2.606765e+01,2.496943e+01,2.447300e+01
97,2000-02-10 05:51:29.934000,15.361000,2.560129e+01,2.702102e+01,2.669971e+01,2.610137e+01,2.491490e+01,2.448059e+01
98,2000-02-10 05:51:30.094000,15.521000,2.560806e+01,2.704107e+01,2.671982e+01,2.624959e+01,2.493535e+01,2.448072e+01
99,2000-02-10 05:51:30.254000,15.681000,2.558774e+01,2.703439e+01,2.671982e+01,2.615529e+01,2.497624e+01,2.448382e+01
100,2000-02-10 05:51:30.414000,15.841000,2.560806e+01,2.714794e+01,2.695416e+01,2.620245e+01,2.492171e+01,2.449572e+01
101,2000-02-10 05:51:30.574000,16.001000,2.575697e+01,2.718131e+01,2.676003e+01,2.610811e+01,2.491490e+01,2.450090e+01
102,2000-02-10 05:51:30.734000,16.161000,2.564869e+01,2.713458e+01,2.680692e+01,2.605416e+01,2.498306e+01,2.450766e+01
103,2000-02-10 05:51:30.894000,16.321000,2.568254e+01,2.710119e+01,2.677343e+01,2.612833e+01,2.492853e+01,2.451922e+01
104,2000-02-10 05:51:31.054000,16.481000,2.577726e+01,2.712791e+01,2.682031e+01,2.616203e+01,2.510563e+01,2.453626e+01
105,2000-02-10 05:51:31.214000,16.641000,2.569608e+01,2.719466e+01,2.691402e+01,2.620918e+01,2.498987e+01,2.454779e+01
106,2000-02-10 05:51:31.374000,16.801000,2.575021e+01,2.710787e+01,2.684710e+01,2.618898e+01,2.499668e+01,2.455079e+01
107,2000-02-10 05:51:31.534000,16.961000,2.572315e+01,2.717464e+01,2.682701e+01,2.620918e+01,2.496261e+01,2.457495e+01
108,2000-02-10 05:51:31.694000,17.121000,2.581783e+01,2.718131e+01,2.689395e+01,2.627651e+01,2.501712e+01,2.457547e+01
109,2000-02-10 05:51:31.854000,17.281000,2.577726e+01,2.722135e+01,2.689395e+01,2.631689e+01,2.501712e+01,2.458487e+01
110,2000-02-10 05:51:32.014000,17.441000,2.587189e+01,2.722802e+01,2.689395e+01,2.620918e+01,2.507160e+01,2.459213e+01
111,2000-02-10 05:51:32.174000,17.601000,2.575021e+01,2.728804e+01,2.695416e+01,2.625632e+01,2.507160e+01,2.461156e+01
112,2000-02-10 05:51:32.335000,17.762000,2.577726e+01,2.730137e+01,2.691402e+01,2.623612e+01,2.507841e+01,2.462649e+01
113,2000-02-10 05:51:32.494000,17.921000,2.593269e+01,2.730804e+01,2.695416e+01,2.623612e+01,2.504436e+01,2.463090e+01
114,2000-02-10 05:51:32.655000,18.082000,2.589216e+01,2.726804e+01,2.686718e+01,2.621592e+01,2.502393e+01,2.463478e+01
115,2000-02-10 05:51:32.815000,18.242000,2.580431e+01,2.725470e+01,2.692071e+01,2.624959e+01,2.507841e+01,2.464283e+01
116,2000-02-10 05:51:32.975000,18.402000,2.591243e+01,2.732137e+01,2.700097e+01,2.634380e+01,2.507160e+01,2.464522e+01
117,2000-02-10 05:51:33.135000,18.562000,2.591243e+01,2.726137e+01,2.689395e+01,2.635725e+01,2.513285e+01,2.465618e+01
118,2000-02-10 05:51:33.295000,18.722000,2.593269e+01,2.730804e+01,2.698759e+01,2.630343e+01,2.511924e+01,2.467470e+01
119,2000-02-10 05:51:33.455000,18.882000,2.584487e+01,2.734803e+01,2.695416e+01,2.630343e+01,2.507160e+01,2.468735e+01
120,2000-02-10 05:51:33.615000,19.042000,2.589892e+01,2.728804e+01,2.700765e+01,2.632362e+01,2.502393e+01,2.469591e+01
121,2000-02-10 05:51:33.775000,19.202000,2.593944e+01,2.728137e+01,2.710119e+01,2.631689e+01,2.516006e+01,2.470146e+01
122,2000-02-10 05:51:33.935000,19.362000,2.595294e+01,2.727470e+01,2.708116e+01,2.636398e+01,2.505798e+01,2.471391e+01
123,2000-02-10 05:51:34.095000,19.522000,2.600019e+01,2.730804e+01,2.698091e+01,2.638415e+01,2.517367e+01,2.471267e+01
124,2000-02-10 05:51:34.255000,19.682000,2.593944e+01,2.727470e+01,2.702770e+01,2.636398e+01,2.519407e+01,2.472256e+01
125,2000-02-10 05:51:34.415000,19.842000,2.589216e+01,2.734803e+01,2.701433e+01,2.638415e+01,2.528243e+01,2.472123e+01
126,2000-02-10 05:51:34.575000,20.002000,2.592593e+01,2.738800e+01,2.694747e+01,2.634380e+01,2.517367e+01,2.472162e+01
127,2000-02-10 05:51:34.735000,20.162000,2.589892e+01,2.734136e+01,2.700097e+01,2.643121e+01,2.523486e+01,2.473274e+01
128,2000-02-10 05:51:34.895000,20.322000,2.597994e+01,2.732804e+01,2.706779e+01,2.643121e+01,2.514646e+01,2.474563e+01
129,2000-02-10 05:51:35.055000,20.482000,2.601369e+01,2.731470e+01,2.702770e+01,2.637743e+01,2.529602e+01,2.474583e+01
130,2000-02-10 05:51:35.215000,20.642000,2.601369e+01,2.742796e+01,2.704775e+01,2.643793e+01,2.534357e+01,2.475224e+01
131,2000-02-10 05:51:35.375000,20.802000,2.593944e+01,2.739466e+01,2.704107e+01,2.645137e+01,2.519407e+01,2.475672e+01
132,2000-02-10 05:51:35.535000,20.962000,2.595969e+01,2.735469e+01,2.718131e+01,2.648496e+01,2.528243e+01,2.476894e+01
133,2000-02-10 05:51:35.695000,21.122000,2.597319e+01,2.733470e+01,2.706779e+01,2.643793e+01,2.521447e+01,2.476909e+01
134,2000-02-10 05:51:35.855000,21.282000,2.597319e+01,2.737468e+01,2.713458e+01,2.641776e+01,2.516006e+01,2.477540e+01
135,2000-02-10 05:51:36.015000,21.442000,2.606091e+01,2.738800e+01,2.704775e+01,2.643121e+01,2.519407e+01,2.477826e+01
136,2000-02-10 05:51:36.175000,21.602000,2.604067e+01,2.744128e+01,2.706111e+01,2.645809e+01,2.529602e+01,2.478392e+01
137,2000-02-10 05:51:36.335000,21.762000,2.606091e+01,2.742130e+01,2.706779e+01,2.648496e+01,2.528243e+01,2.479353e+01
138,2000-02-10 05:51:36.495000,21.922000,2.604067e+01,2.746790e+01,2.715461e+01,2.647153e+01,2.526205e+01,2.480002e+01
139,2000-02-10 05:51:36.655000,22.082000,2.610137e+01,2.741464e+01,2.718131e+01,2.645809e+01,2.528923e+01,2.480729e+01
140,2000-02-10 05:51:36.815000,22.242000,2.611485e+01,2.742130e+01,2.712123e+01,2.649840e+01,2.523486e+01,2.481216e+01
141,2000-02-10 05:51:36.975000,22.402000,2.612833e+01,2.746790e+01,2.710787e+01,2.654540e+01,2.524166e+01,2.483611e+01
142,2000-02-10 05:51:37.135000,22.562000,2.613507e+01,2.748121e+01,2.713458e+01,2.655883e+01,2.530961e+01,2.485325e+01
143,2000-02-10 05:51:37.295000,22.722000,2.606765e+01,2.748121e+01,2.713458e+01,2.656554e+01,2.532319e+01,2.485160e+01
144,2000-02-10 05:51:37.455000,22.882000,2.610137e+01,2.747456e+01,2.719466e+01,2.648496e+01,2.530282e+01,2.485493e+01
145,2000-02-10 05:51:37.615000,23.042000,2.612833e+01,2.748787e+01,2.715461e+01,2.659910e+01,2.528243e+01,2.486116e+01
146,2000-02-10 05:51:37.775000,23.202000,2.612159e+01,2.748787e+01,2.719466e+01,2.654540e+01,2.528923e+01,2.486989e+01
147,2000-02-10 05:51:37.935000,23.362000,2.610811e+01,2.752779e+01,2.718798e+01,2.653197e+01,2.528923e+01,2.487300e+01
148,2000-02-10 05:51:38.095000,23.522000,2.610811e+01,2.748787e+01,2.720800e+01,2.653869e+01,2.532998e+01,2.487906e+01
149,2000-02-10 05:51:38.255000,23.682000,2.610811e+01,2.754110e+01,2.719466e+01,2.655883e+01,2.522807e+01,2.488793e+01
150,2000-02-10 05:51:38.415000,23.842000,2.614855e+01,2.753444e+01,2.724803e+01,2.659239e+01,2.530282e+01,2.488648e+01
151,2000-02-10 05:51:38.575000,24.002000,2.615529e+01,2.750118e+01,2.726137e+01,2.661252e+01,2.532998e+01,2.488966e+01
152,2000-02-10 05:51:38.735000,24.162000,2.617550e+01,2.760759e+01,2.719466e+01,2.656554e+01,2.529602e+01,2.490031e+01
153,2000-02-10 05:51:38.895000,24.322000,2.614181e+01,2.756770e+01,2.733470e+01,2.654540e+01,2.538430e+01,2.490082e+01
154,2000-02-10 05:51:39.055000,24.482000,2.619571e+01,2.762088e+01,2.733470e+01,2.661923e+01,2.533677e+01,2.495132e+01
155,2000-02-10 05:51:39.215000,24.642000,2.619571e+01,2.761424e+01,2.728137e+01,2.665277e+01,2.535715e+01,2.497139e+01
156,2000-02-10 05:51:39.375000,24.802000,2.616877e+01,2.765411e+01,2.728137e+01,2.672652e+01,2.540466e+01,2.498082e+01
157,2000-02-10 05:51:39.535000,24.962000,2.623612e+01,2.766076e+01,2.739466e+01,2.665277e+01,2.539788e+01,2.499259e+01
158,2000-02-10 05:51:39.695000,25.122000,2.631016e+01,2.776701e+01,2.740132e+01,2.664606e+01,2.541823e+01,2.499025e+01
159,2000-02-10 05:51:39.855000,25.282000,2.622265e+01,2.772054e+01,2.733470e+01,2.665948e+01,2.543859e+01,2.499713e+01
160,2000-02-10 05:51:40.015000,25.442000,2.633707e+01,2.780019e+01,2.736135e+01,2.670641e+01,2.551319e+01,2.501498e+01
161,2000-02-10 05:51:40.175000,25.602000,2.622265e+01,2.767404e+01,2.734803e+01,2.668630e+01,2.537072e+01,2.500960e+01
162,2000-02-10 05:51:40.335000,25.762000,2.631016e+01,2.770725e+01,2.734803e+01,2.674663e+01,2.543180e+01,2.502141e+01
163,2000-02-10 05:51:40.495000,25.922000,2.630343e+01,2.765411e+01,2.734136e+01,2.680692e+01,2.536394e+01,2.502283e+01
164,2000-02-10 05:51:40.655000,26.082000,2.627651e+01,2.763418e+01,2.740798e+01,2.672652e+01,2.552675e+01,2.502560e+01
165,2000-02-10 05:51:40.815000,26.242000,2.629670e+01,2.766076e+01,2.742130e+01,2.672652e+01,2.543180e+01,2.503424e+01
166,2000-02-10 05:51:40.975000,26.402000,2.633035e+01,2.776037e+01,2.754110e+01,2.676003e+01,2.535715e+01,2.503496e+01
167,2000-02-10 05:51:41.135000,26.562000,2.628997e+01,2.768069e+01,2.736135e+01,2.672652e+01,2.539788e+01,2.501520e+01
168,2000-02-10 05:51:41.295000,26.722000,2.632362e+01,2.766076e+01,2.736802e+01,2.674663e+01,2.533677e+01,2.502113e+01
169,2000-02-10 05:51:41.455000,26.882000,2.629670e+01,2.774046e+01,2.745459e+01,2.682031e+01,2.534357e+01,2.502444e+01
