frame,abstime,reltime,april10_baselineBoardA_3.seq:Rectangle 1 [C]:max,april10_baselineBoardA_3.seq:Polygon 1 [C]:max,april10_baselineBoardA_3.seq:Rectangle 2 [C]:max,april10_baselineBoardA_3.seq:Rectangle 3 [C]:max,april10_baselineBoardA_3.seq:Rectangle 4 [C]:max,april10_baselineBoardA_3.seq:Rectangle 5 [C]:mean
113,2000-02-10 05:14:45.971000,17.920000,2.548607e+01,2.693409e+01,2.643793e+01,2.600694e+01,2.458027e+01,2.422414e+01
114,2000-02-10 05:14:46.131000,18.080000,2.560129e+01,2.697422e+01,2.639087e+01,2.596644e+01,2.458027e+01,2.422879e+01
115,2000-02-10 05:14:46.291000,18.240000,2.553353e+01,2.708784e+01,2.654540e+01,2.602718e+01,2.460763e+01,2.427020e+01
116,2000-02-10 05:14:46.451000,18.400000,2.563515e+01,2.704107e+01,2.647153e+01,2.610811e+01,2.456659e+01,2.427984e+01
117,2000-02-10 05:14:46.611000,18.560000,2.557419e+01,2.698091e+01,2.648496e+01,2.603393e+01,2.453922e+01,2.428132e+01
118,2000-02-10 05:14:46.771000,18.720000,2.562838e+01,2.703439e+01,2.657226e+01,2.612159e+01,2.457343e+01,2.429416e+01
119,2000-02-10 05:14:46.931000,18.880000,2.563515e+01,2.700097e+01,2.655212e+01,2.611485e+01,2.455975e+01,2.429770e+01
120,2000-02-10 05:14:47.091000,19.040000,2.559451e+01,2.701433e+01,2.652526e+01,2.605416e+01,2.464865e+01,2.430427e+01
121,2000-02-10 05:14:47.251000,19.200000,2.561483e+01,2.714126e+01,2.653197e+01,2.605416e+01,2.459395e+01,2.430753e+01
122,2000-02-10 05:14:47.411000,19.360000,2.561483e+01,2.702770e+01,2.653869e+01,2.611485e+01,2.461447e+01,2.430123e+01
123,2000-02-10 05:14:47.571000,19.520000,2.560129e+01,2.701433e+01,2.672652e+01,2.608114e+01,2.456659e+01,2.429903e+01
124,2000-02-10 05:14:47.731000,19.680000,2.563515e+01,2.703439e+01,2.656554e+01,2.610811e+01,2.472381e+01,2.430288e+01
125,2000-02-10 05:14:47.891000,19.840000,2.565546e+01,2.703439e+01,2.654540e+01,2.609463e+01,2.473064e+01,2.431119e+01
126,2000-02-10 05:14:48.051000,20.000000,2.566224e+01,2.708116e+01,2.651855e+01,2.608114e+01,2.459395e+01,2.431600e+01
127,2000-02-10 05:14:48.211000,20.160000,2.572991e+01,2.703439e+01,2.663935e+01,2.606765e+01,2.458027e+01,2.432467e+01
128,2000-02-10 05:14:48.371000,20.320000,2.564192e+01,2.712123e+01,2.665948e+01,2.612833e+01,2.457343e+01,2.432056e+01
129,2000-02-10 05:14:48.531000,20.480000,2.563515e+01,2.708116e+01,2.662594e+01,2.615529e+01,2.464865e+01,2.433392e+01
130,2000-02-10 05:14:48.691000,20.640000,2.572315e+01,2.720800e+01,2.667959e+01,2.608788e+01,2.466915e+01,2.434081e+01
