frame,abstime,reltime,april3_microphoneBoardA_4.seq:Rectangle 1 [C]:max,april3_microphoneBoardA_4.seq:Polygon 1 [C]:max,april3_microphoneBoardA_4.seq:Rectangle 2 [C]:max,april3_microphoneBoardA_4.seq:Rectangle 3 [C]:max,april3_microphoneBoardA_4.seq:Rectangle 4 [C]:max,april3_microphoneBoardA_4.seq:Rectangle 5 [C]:mean
134,2000-02-03 07:31:28.091000,21.283000,2.637743e+01,2.670641e+01,2.705443e+01,2.659239e+01,2.544537e+01,2.490957e+01
135,2000-02-03 07:31:28.251000,21.443000,2.642449e+01,2.675333e+01,2.710119e+01,2.663935e+01,2.552675e+01,2.491064e+01
136,2000-02-03 07:31:28.411000,21.603000,2.637743e+01,2.674663e+01,2.708784e+01,2.667289e+01,2.555386e+01,2.491362e+01
137,2000-02-03 07:31:28.571000,21.763000,2.635052e+01,2.673322e+01,2.700097e+01,2.669300e+01,2.560806e+01,2.491754e+01
138,2000-02-03 07:31:28.731000,21.923000,2.638415e+01,2.679352e+01,2.709451e+01,2.664606e+01,2.565546e+01,2.495737e+01
139,2000-02-03 07:31:28.891000,22.083000,2.643793e+01,2.679352e+01,2.711455e+01,2.682031e+01,2.567577e+01,2.496577e+01
140,2000-02-03 07:31:29.051000,22.243000,2.647153e+01,2.683371e+01,2.720133e+01,2.689395e+01,2.571638e+01,2.497887e+01
141,2000-02-03 07:31:29.211000,22.403000,2.641104e+01,2.682031e+01,2.710787e+01,2.669971e+01,2.562161e+01,2.497553e+01
142,2000-02-03 07:31:29.371000,22.563000,2.643793e+01,2.682701e+01,2.710119e+01,2.666618e+01,2.561483e+01,2.498131e+01
143,2000-02-03 07:31:29.531000,22.723000,2.650511e+01,2.682031e+01,2.712791e+01,2.676003e+01,2.579078e+01,2.498460e+01
144,2000-02-03 07:31:29.691000,22.883000,2.645809e+01,2.678013e+01,2.714126e+01,2.683371e+01,2.564869e+01,2.498708e+01
145,2000-02-03 07:31:29.851000,23.043000,2.641776e+01,2.688726e+01,2.717464e+01,2.672652e+01,2.564192e+01,2.498146e+01
146,2000-02-03 07:31:30.011000,23.203000,2.649840e+01,2.685379e+01,2.718131e+01,2.669300e+01,2.565546e+01,2.498228e+01
147,2000-02-03 07:31:30.171000,23.363000,2.647824e+01,2.679352e+01,2.717464e+01,2.673993e+01,2.563515e+01,2.499227e+01
148,2000-02-03 07:31:30.331000,23.523000,2.649840e+01,2.682031e+01,2.720133e+01,2.673322e+01,2.562161e+01,2.499210e+01
149,2000-02-03 07:31:30.491000,23.683000,2.649840e+01,2.684040e+01,2.718798e+01,2.668630e+01,2.555386e+01,2.499543e+01
150,2000-02-03 07:31:30.651000,23.843000,2.645137e+01,2.685379e+01,2.712123e+01,2.680022e+01,2.562838e+01,2.500063e+01
151,2000-02-03 07:31:30.811000,24.003000,2.647153e+01,2.692740e+01,2.722135e+01,2.672652e+01,2.565546e+01,2.501118e+01
152,2000-02-03 07:31:30.971000,24.163000,2.645137e+01,2.683371e+01,2.718131e+01,2.680022e+01,2.556741e+01,2.500966e+01
153,2000-02-03 07:31:31.131000,24.323000,2.651855e+01,2.684040e+01,2.720800e+01,2.674663e+01,2.560806e+01,2.501135e+01
154,2000-02-03 07:31:31.291000,24.483000,2.646481e+01,2.686718e+01,2.719466e+01,2.678683e+01,2.560129e+01,2.501555e+01
155,2000-02-03 07:31:31.451000,24.643000,2.644465e+01,2.684710e+01,2.720133e+01,2.676003e+01,2.554031e+01,2.501822e+01
156,2000-02-03 07:31:31.611000,24.803000,2.646481e+01,2.690064e+01,2.715461e+01,2.677343e+01,2.565546e+01,2.503228e+01
157,2000-02-03 07:31:31.771000,24.963000,2.653869e+01,2.688726e+01,2.720133e+01,2.679352e+01,2.570961e+01,2.502984e+01
158,2000-02-03 07:31:31.931000,25.123000,2.650511e+01,2.685379e+01,2.726137e+01,2.686049e+01,2.570285e+01,2.503882e+01
159,2000-02-03 07:31:32.091000,25.283000,2.652526e+01,2.684040e+01,2.724136e+01,2.674663e+01,2.562838e+01,2.503515e+01
160,2000-02-03 07:31:32.251000,25.443000,2.651855e+01,2.686718e+01,2.724803e+01,2.686049e+01,2.566224e+01,2.504397e+01
161,2000-02-03 07:31:32.411000,25.603000,2.658568e+01,2.694078e+01,2.724136e+01,2.683371e+01,2.559451e+01,2.505236e+01
162,2000-02-03 07:31:32.571000,25.763000,2.649840e+01,2.693409e+01,2.721468e+01,2.681362e+01,2.557419e+01,2.505464e+01
163,2000-02-03 07:31:32.731000,25.923000,2.651855e+01,2.698091e+01,2.720133e+01,2.680022e+01,2.569608e+01,2.505752e+01
164,2000-02-03 07:31:32.891000,26.083000,2.653197e+01,2.691402e+01,2.723469e+01,2.680692e+01,2.566900e+01,2.507017e+01
165,2000-02-03 07:31:33.051000,26.243000,2.660581e+01,2.711455e+01,2.724136e+01,2.700097e+01,2.558774e+01,2.507629e+01
