frame,abstime,reltime,april15_microphoneBoardB_0.seq:Rectangle 1 [C]:max,april15_microphoneBoardB_0.seq:Polygon 1 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 2 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 3 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 4 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 5 [C]:mean
122,2000-02-14 20:47:29.368000,19.363000,2.532998e+01,2.649840e+01,2.645809e+01,2.593944e+01,2.436116e+01,2.403243e+01
123,2000-02-14 20:47:29.528000,19.523000,2.545216e+01,2.653869e+01,2.647824e+01,2.601369e+01,2.432689e+01,2.403863e+01
124,2000-02-14 20:47:29.688000,19.683000,2.537072e+01,2.657226e+01,2.650511e+01,2.597319e+01,2.431317e+01,2.406004e+01
125,2000-02-14 20:47:29.848000,19.843000,2.536394e+01,2.653197e+01,2.646481e+01,2.589892e+01,2.432689e+01,2.406449e+01
126,2000-02-14 20:47:30.008000,20.003000,2.541145e+01,2.653197e+01,2.649168e+01,2.589892e+01,2.433374e+01,2.406591e+01
127,2000-02-14 20:47:30.168000,20.163000,2.541145e+01,2.649840e+01,2.655883e+01,2.592593e+01,2.429945e+01,2.407074e+01
128,2000-02-14 20:47:30.328000,20.323000,2.539109e+01,2.659239e+01,2.651855e+01,2.596644e+01,2.437487e+01,2.407586e+01
129,2000-02-14 20:47:30.488000,20.483000,2.539109e+01,2.653197e+01,2.649840e+01,2.595294e+01,2.435431e+01,2.408190e+01
130,2000-02-14 20:47:30.648000,20.643000,2.551319e+01,2.653197e+01,2.660581e+01,2.597994e+01,2.444338e+01,2.409316e+01
131,2000-02-14 20:47:30.808000,20.803000,2.556741e+01,2.663935e+01,2.648496e+01,2.597994e+01,2.449131e+01,2.409386e+01
132,2000-02-14 20:47:30.968000,20.963000,2.544537e+01,2.654540e+01,2.649168e+01,2.597319e+01,2.438858e+01,2.410166e+01
133,2000-02-14 20:47:31.128000,21.123000,2.549285e+01,2.656554e+01,2.649168e+01,2.593944e+01,2.441598e+01,2.410452e+01
134,2000-02-14 20:47:31.288000,21.283000,2.545894e+01,2.661252e+01,2.651855e+01,2.600019e+01,2.440913e+01,2.410797e+01
135,2000-02-14 20:47:31.448000,21.443000,2.549963e+01,2.655883e+01,2.658568e+01,2.599344e+01,2.442968e+01,2.410805e+01
136,2000-02-14 20:47:31.608000,21.603000,2.548607e+01,2.655883e+01,2.664606e+01,2.601369e+01,2.441598e+01,2.411405e+01
137,2000-02-14 20:47:31.769000,21.764000,2.550641e+01,2.655883e+01,2.661252e+01,2.608788e+01,2.434060e+01,2.412106e+01
138,2000-02-14 20:47:31.928000,21.923000,2.553353e+01,2.661252e+01,2.661252e+01,2.598669e+01,2.448447e+01,2.412949e+01
