frame,abstime,reltime,april10_baselineBoardE_1.seq:Rectangle 1 [C]:max,april10_baselineBoardE_1.seq:Polygon 1 [C]:max,april10_baselineBoardE_1.seq:Rectangle 2 [C]:max,april10_baselineBoardE_1.seq:Rectangle 3 [C]:max,april10_baselineBoardE_1.seq:Rectangle 4 [C]:max,april10_baselineBoardE_1.seq:Rectangle 5 [C]:mean
147,2000-02-10 08:07:48.705000,23.361000,2.643121e+01,2.769397e+01,2.742796e+01,2.696085e+01,2.550641e+01,2.511589e+01
148,2000-02-10 08:07:48.865000,23.521000,2.645809e+01,2.764747e+01,2.740132e+01,2.693409e+01,2.550641e+01,2.512379e+01
149,2000-02-10 08:07:49.025000,23.681000,2.649840e+01,2.766740e+01,2.734803e+01,2.696085e+01,2.549963e+01,2.513614e+01
150,2000-02-10 08:07:49.185000,23.841000,2.657226e+01,2.775373e+01,2.738800e+01,2.697422e+01,2.549285e+01,2.515102e+01
151,2000-02-10 08:07:49.345000,24.001000,2.648496e+01,2.772718e+01,2.748787e+01,2.700097e+01,2.548607e+01,2.515730e+01
152,2000-02-10 08:07:49.505000,24.161000,2.655883e+01,2.771390e+01,2.746125e+01,2.701433e+01,2.547251e+01,2.516422e+01
153,2000-02-10 08:07:49.665000,24.321000,2.658568e+01,2.771390e+01,2.740132e+01,2.704775e+01,2.545894e+01,2.516688e+01
154,2000-02-10 08:07:49.825000,24.481000,2.656554e+01,2.787316e+01,2.744793e+01,2.699428e+01,2.548607e+01,2.518317e+01
155,2000-02-10 08:07:49.985000,24.641000,2.657897e+01,2.787979e+01,2.745459e+01,2.699428e+01,2.554708e+01,2.518941e+01
156,2000-02-10 08:07:50.145000,24.801000,2.659239e+01,2.782010e+01,2.749452e+01,2.701433e+01,2.547251e+01,2.521595e+01
157,2000-02-10 08:07:50.305000,24.961000,2.657897e+01,2.780019e+01,2.747456e+01,2.703439e+01,2.551997e+01,2.522162e+01
158,2000-02-10 08:07:50.465000,25.121000,2.665948e+01,2.779355e+01,2.754110e+01,2.712123e+01,2.549285e+01,2.522573e+01
159,2000-02-10 08:07:50.625000,25.281000,2.660581e+01,2.780019e+01,2.755440e+01,2.710119e+01,2.555386e+01,2.523468e+01
160,2000-02-10 08:07:50.785000,25.441000,2.666618e+01,2.778028e+01,2.756770e+01,2.702770e+01,2.555386e+01,2.523584e+01
161,2000-02-10 08:07:50.945000,25.601000,2.657897e+01,2.784000e+01,2.760094e+01,2.709451e+01,2.566900e+01,2.524567e+01
162,2000-02-10 08:07:51.105000,25.761000,2.663935e+01,2.787979e+01,2.756105e+01,2.720800e+01,2.552675e+01,2.525579e+01
163,2000-02-10 08:07:51.265000,25.921000,2.667289e+01,2.784000e+01,2.756770e+01,2.712123e+01,2.559451e+01,2.529157e+01
164,2000-02-10 08:07:51.425000,26.081000,2.664606e+01,2.784000e+01,2.758765e+01,2.713458e+01,2.564869e+01,2.530648e+01
165,2000-02-10 08:07:51.585000,26.241000,2.669300e+01,2.784000e+01,2.760094e+01,2.713458e+01,2.566900e+01,2.531142e+01
166,2000-02-10 08:07:51.745000,26.401000,2.669971e+01,2.785989e+01,2.762753e+01,2.722135e+01,2.562838e+01,2.532301e+01
167,2000-02-10 08:07:51.905000,26.561000,2.673322e+01,2.782010e+01,2.762088e+01,2.718798e+01,2.567577e+01,2.532162e+01
