Board Type,Board Instance,Component,Trial,a_rise,b_rise,c_rise,a_fall,b_fall,c_fall
baseline,D,buck,2,4.565643373595328,0.02052971823124805,5.623823465015696,-4.335718275976326,0.020620993858578265,0.20567488904380796
baseline,D,usbesd,2,3.6430572390465983,0.014653324137144933,4.01740131678865,-3.4479862022032215,0.014877407291527641,0.0021190043085062174
baseline,D,fullboard,2,3.655653400140716,0.016461763531882837,3.8717277238588874,-3.572344311262653,0.016615281517120512,0.07397733850507227
baseline,D,samd,3,4.28615633589195,0.01477294050316957,4.857669535612168,-3.7600286733696873,0.02291377545362564,0.1664392179887953
baseline,D,atmega,3,4.655858137074747,0.017643237031330257,6.5866738697877505,-4.7533348704997795,0.020165729756339703,0.1066043894442804
baseline,D,3v3reg,3,4.630077960280202,0.018187112303957295,6.278316505600969,-4.616459518912328,0.02025308392666488,0.1297885356412963
baseline,D,buck,3,4.48340579350456,0.018528265840761348,5.631533592698873,-4.466895054958165,0.020336553309807874,0.0960556207500915
baseline,D,usbesd,3,3.5834968307181305,0.013148170239886896,4.039283371520278,-3.4576636300068198,0.015698280240406485,0.059953355018651115
baseline,D,fullboard,3,3.643083496293295,0.014241894474093852,3.950754959530522,-3.6385937418831222,0.017079755929410197,0.08969959202914113
baseline,D,samd,4,4.023312182508895,0.0204479788813164,4.443478962652137,-3.5427774202890787,0.02321315598987319,0.05495450632693128
baseline,D,atmega,4,4.535624177451732,0.023351103398883764,6.145406685342121,-4.462174472989061,0.021093188903185442,-0.008801932129076465
baseline,D,3v3reg,4,4.428408474042492,0.023057027220690734,5.726607646565669,-4.167617171732267,0.0209955067089841,0.03869787390168236
baseline,D,buck,4,4.200698171991703,0.023289868213610374,5.0628356404714205,-4.053642581604851,0.021174153105972295,0.0006983543749599754
baseline,D,usbesd,4,3.1597702026850945,0.017181148488485506,3.514879517645093,-3.10782464392228,0.01566270334831562,-0.05997772495848766
baseline,D,fullboard,4,3.2947286092539305,0.01850316773354687,3.3947356346190323,-3.2845056598807987,0.016819550330932825,-0.08237874691969133
baseline,E,samd,0,4.408546955454553,0.018311129307799337,4.887734090877359,-3.8831827194502018,0.02240112108548285,0.08100136884191239
baseline,E,atmega,0,4.574087160142454,0.02091773030021692,6.326612252464127,-4.46155165390896,0.02118712260486547,0.08408143810152746
